Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
21-June-2018,569.00,569.00,556.20,558.20,562.545686961802218097,556603,6140,313114617.00,126437,22.72,12.80,-10.80
20-June-2018,557.50,566.80,553.30,563.30,559.026880238036201338,504125,6822,281819426.00,179979,35.70,13.50,5.80
19-June-2018,558.00,565.45,550.00,554.85,556.425395307978503513,696672,7987,387645993.00,57197,8.21,15.45,-3.15
18-June-2018,564.00,564.30,547.45,558.70,554.846934043719674336,828094,11686,459465417.00,100237,12.10,16.85,-5.30
15-June-2018,574.00,574.85,562.00,565.95,568.322149165012888427,633902,7115,360260547.00,219924,34.69,12.85,-8.05
14-June-2018,567.10,574.35,561.75,569.40,569.077127835420130717,408361,6189,232388905.00,64240,15.73,12.60,2.30
13-June-2018,579.80,584.00,566.20,567.50,571.454574149765035929,620946,14175,354842432.00,158255,25.49,17.80,-12.30
12-June-2018,587.95,588.40,577.55,579.80,582.318356539465469124,531756,11848,309651280.00,103114,19.39,10.85,-8.15
11-June-2018,599.55,605.40,586.25,588.75,595.523769374196003989,415114,8074,247210254.00,120191,28.95,19.15,-10.80
8-June-2018,597.00,607.55,592.60,599.50,599.683410981171423255,569666,6948,341619250.00,45798,8.04,14.95,2.50
7-June-2018,581.40,604.80,581.40,601.35,595.447342249845639492,636497,8346,379000447.00,118376,18.60,23.40,19.95
6-June-2018,573.50,581.25,569.05,579.70,576.553256095637848483,298041,4483,171836509.00,56102,18.82,12.20,6.20
5-June-2018,565.25,574.00,561.00,571.95,565.330475780873728075,620811,5209,350963378.00,275449,44.37,13.00,6.70
4-June-2018,564.00,571.95,560.60,566.95,566.599701494773349513,533994,6932,302560841.00,80075,15.00,11.35,2.95
1-June-2018,570.90,579.20,556.55,560.35,566.402371493795534616,480541,8505,272179562.00,76736,15.97,22.65,-10.55
31-May-2018,582.55,590.00,572.10,575.45,577.769606599327326419,370462,4663,214041684.00,68686,18.54,17.90,-7.10
